# PC/CDL-2 System Inner Leaflet Force Data
#  1st Col = Rho	 2nd Col = Z	 3rd Col = Force
7.500000000000000000e+00 5.000000000000000000e-01 1.949750141871989528e-01
7.500000000000000000e+00 1.500000000000000000e+00 1.944952951122018436e-01
7.500000000000000000e+00 2.500000000000000000e+00 1.873281512003429905e-01
7.500000000000000000e+00 3.500000000000000000e+00 1.873239584704944061e-01
7.500000000000000000e+00 4.500000000000000000e+00 1.785660938773877549e-01
7.500000000000000000e+00 5.500000000000000000e+00 1.907331066262696606e-01
7.500000000000000000e+00 6.500000000000000000e+00 1.982711655488443858e-01
7.500000000000000000e+00 7.500000000000000000e+00 1.866207527180860082e-01
7.500000000000000000e+00 8.500000000000000000e+00 2.010258639114677059e-01
7.500000000000000000e+00 9.500000000000000000e+00 1.929749163018997515e-01
7.500000000000000000e+00 1.050000000000000000e+01 1.902610458273128746e-01
7.500000000000000000e+00 1.150000000000000000e+01 1.963212559778301225e-01
7.500000000000000000e+00 1.250000000000000000e+01 2.200487564028570653e-01
7.500000000000000000e+00 1.350000000000000000e+01 2.610032572368354287e-01
7.500000000000000000e+00 1.450000000000000000e+01 2.915033545363332479e-01
7.509998666737775608e+00 1.549986667733292656e+01 3.493570482711926273e-01
7.589892051826671704e+00 1.649640259111149021e+01 3.936120311871538213e-01
7.749167776984479339e+00 1.748336663493826393e+01 4.415407928662239967e-01
7.986807021115363447e+00 1.845444560705142223e+01 5.094208788840975943e-01
8.301289704025814231e+00 1.940342791593862515e+01 5.605761768700606718e-01
8.690604209750457443e+00 2.032424331332499534e+01 6.071713418266240225e-01
9.152260254029377151e+00 2.121100172304671005e+01 6.290975625800435678e-01
9.683304813629021623e+00 2.205803091743794297e+01 6.607592846153838018e-01
1.028034101561340030e+01 2.285991280023085892e+01 6.648245463912321185e-01
1.093954986573868560e+01 2.361151806388189200e+01 6.992621763519356604e-01
1.165671467698364694e+01 2.430803899963574111e+01 7.441010634306347571e-01
1.242724804195671418e+01 2.494502025045457572e+01 7.897319364388810659e-01
1.324622117664825183e+01 2.551838731009870642e+01 8.204306524423536917e-01
1.410839544782825072e+01 2.602447258606184377e+01 8.323696051702712539e-01
1.500825588242158659e+01 2.646003885964708502e+01 8.531854796659384954e-01
1.594004644451529806e+01 2.682229999311923763e+01 8.507895217444009228e-01
1.689780685434534035e+01 2.710893875147831622e+01 8.158855252893471022e-01
1.787541071374698731e+01 2.731812162485575257e+01 7.812285467407054096e-01
1.886660469419612696e+01 2.744851055672049966e+01 7.226912317874192304e-01
1.986504853677165627e+01 2.749927150287457778e+01 7.075988445726545395e-01
2.086504591506379214e+01 2.750000000000000000e+01 6.882084072678946729e-01
2.186504591506379214e+01 2.750000000000000000e+01 6.147051703688661828e-01
2.286504591506379214e+01 2.750000000000000000e+01 5.461168772041661290e-01
2.386504591506379214e+01 2.750000000000000000e+01 5.440925699743520694e-01
2.486504591506379214e+01 2.750000000000000000e+01 5.269552438063817013e-01
2.586504591506379214e+01 2.750000000000000000e+01 5.304676418990813547e-01
2.686504591506379214e+01 2.750000000000000000e+01 5.377659088314009628e-01
2.786504591506379214e+01 2.750000000000000000e+01 5.434350717064332370e-01
2.886504591506379214e+01 2.750000000000000000e+01 5.281084933321982255e-01
2.986504591506379214e+01 2.750000000000000000e+01 5.347853532735569182e-01
3.086504591506379214e+01 2.750000000000000000e+01 5.381145749672251455e-01
3.186504591506379214e+01 2.750000000000000000e+01 5.516374204050781271e-01
3.286504591506378858e+01 2.750000000000000000e+01 5.536990051883501351e-01
3.386504591506378858e+01 2.750000000000000000e+01 5.779583548750634181e-01
3.486504591506378858e+01 2.750000000000000000e+01 5.649295641121591105e-01
3.586504591506378858e+01 2.750000000000000000e+01 5.396199688129657002e-01
3.686504591506378858e+01 2.750000000000000000e+01 5.473106783015714294e-01
3.786504591506378858e+01 2.750000000000000000e+01 5.681325400128022229e-01
