# cdl2 % Change in outer leaflet for ppc junc
#  1st Col = Time (us)	 2nd Col = % Change
0.000000000000000000e+00 5.535437747000549781e-03
8.077544426494346220e-04 7.246415244916204479e-03
1.615508885298869244e-03 6.529566735998858749e-03
2.423263327948304083e-03 7.455436277629178508e-03
3.231017770597738488e-03 1.282591858009762484e-02
4.038772213247172893e-03 2.484895905362277321e-02
4.846526655896608166e-03 2.921672001565211660e-02
5.654281098546042571e-03 3.216634526699446717e-02
6.462035541195476976e-03 3.647715095596188589e-02
7.269789983844911381e-03 3.967694630696566582e-02
8.077544426494345786e-03 4.702904121041252133e-02
8.885298869143781059e-03 5.451333197870162489e-02
9.693053311793216331e-03 6.478580812693801594e-02
1.050080775444264987e-02 7.570731978929108597e-02
1.130856219709208514e-02 8.075361648717982455e-02
1.211631663974151868e-02 8.892891273989128598e-02
1.292407108239095395e-02 9.182164956783116228e-02
1.373182552504038922e-02 9.592126144147394839e-02
1.453957996768982276e-02 1.023903163447882486e-01
1.534733441033925803e-02 1.144360939922316744e-01
1.615508885298869157e-02 1.220401502866668708e-01
1.696284329563812684e-02 1.263496641333954340e-01
1.777059773828756212e-02 1.278471362041405379e-01
1.857835218093699739e-02 1.341368647890875954e-01
1.938610662358643266e-02 1.412386484069839687e-01
2.019386106623586447e-02 1.463497544646711335e-01
2.100161550888529974e-02 1.544181874665406795e-01
2.180936995153473501e-02 1.640748997352833027e-01
2.261712439418417028e-02 1.749259924380794917e-01
2.342487883683360556e-02 1.851800166542335591e-01
2.423263327948303736e-02 1.964468305477365950e-01
2.504038772213247263e-02 2.041259968991221696e-01
2.584814216478190790e-02 2.106024478803187883e-01
2.665589660743134318e-02 2.235270288334285094e-01
2.746365105008077845e-02 2.356427613709256852e-01
2.827140549273021025e-02 2.422730690693364886e-01
2.907915993537964552e-02 2.502384722434247699e-01
2.988691437802908080e-02 2.630200670671895002e-01
3.069466882067851607e-02 2.707215277252875696e-01
3.150242326332795134e-02 2.857858484565632962e-01
3.231017770597738314e-02 2.923560895053480824e-01
3.311793214862682189e-02 3.047451152926555773e-01
3.392568659127625369e-02 3.182517091376776408e-01
3.473344103392568549e-02 3.334071115893295634e-01
3.554119547657512423e-02 3.475696902512519504e-01
3.634894991922455604e-02 3.640690900793276397e-01
3.715670436187399478e-02 3.743955216924081952e-01
3.796445880452342658e-02 3.836914257258738914e-01
3.877221324717286532e-02 3.946311008199476777e-01
3.957996768982229713e-02 4.085347490144432547e-01
4.038772213247172893e-02 4.208687503669640839e-01
4.119547657512116767e-02 4.295887795828036149e-01
4.200323101777059948e-02 4.428859238261454445e-01
4.281098546042003822e-02 4.527693507829743114e-01
4.361873990306947002e-02 4.607243480277825598e-01
4.442649434571890182e-02 4.661799738217469180e-01
4.523424878836834057e-02 4.715112422657322111e-01
4.604200323101777237e-02 4.815032951376368442e-01
4.684975767366721111e-02 4.906136058177118509e-01
4.765751211631664291e-02 4.973410534950377659e-01
4.846526655896607472e-02 5.001287602335735549e-01
4.927302100161551346e-02 5.073032298868758172e-01
5.008077544426494526e-02 5.069259318187122609e-01
5.088852988691438400e-02 5.024999071351944346e-01
5.169628432956381581e-02 5.048815869265810274e-01
5.250403877221324761e-02 4.993834129073235761e-01
5.331179321486268635e-02 4.998304177836862539e-01
5.411954765751211816e-02 5.000117302399251784e-01
5.492730210016155690e-02 5.011821686268591591e-01
5.573505654281098870e-02 5.046315189685599556e-01
5.654281098546042050e-02 5.026475327421551231e-01
5.735056542810985925e-02 5.113636366747972284e-01
5.815831987075929105e-02 5.177548732518688634e-01
5.896607431340872979e-02 5.230581795003196310e-01
5.977382875605816159e-02 5.281526124581793491e-01
6.058158319870759340e-02 5.290959077241422781e-01
6.138933764135703214e-02 5.292989315504963432e-01
6.219709208400646394e-02 5.352554837837721902e-01
6.300484652665590268e-02 5.363813951054950957e-01
6.381260096930534143e-02 5.433290619641386598e-01
6.462035541195476629e-02 5.484158131595260333e-01
6.542810985460420503e-02 5.567542242792840046e-01
6.623586429725364377e-02 5.637692373019483894e-01
6.704361873990306864e-02 5.684841109312660512e-01
6.785137318255250738e-02 5.727744103674994314e-01
6.865912762520194612e-02 5.758872073296377181e-01
6.946688206785137099e-02 5.825942741280379922e-01
7.027463651050080973e-02 5.850568826754066754e-01
7.108239095315024847e-02 5.881468945735219833e-01
7.189014539579968721e-02 5.924617702490351245e-01
7.269789983844911208e-02 5.976986396601228213e-01
7.350565428109855082e-02 5.977480225572048278e-01
7.431340872374798956e-02 6.025103083163652062e-01
7.512116316639741442e-02 6.081873321598336712e-01
7.592891760904685317e-02 6.131460200931829752e-01
7.673667205169629191e-02 6.177055843480181441e-01
7.754442649434573065e-02 6.171459668896165374e-01
7.835218093699515551e-02 6.202271713682233623e-01
7.915993537964459426e-02 6.272687232242097899e-01
7.996768982229403300e-02 6.295099871994213059e-01
8.077544426494345786e-02 6.282505206646211704e-01
8.158319870759289660e-02 6.341663957515150107e-01
8.239095315024233535e-02 6.384276275312181781e-01
8.319870759289176021e-02 6.432552776073287015e-01
8.400646203554119895e-02 6.515144003693059682e-01
8.481421647819063769e-02 6.552492387139530194e-01
8.562197092084007644e-02 6.613736382551218540e-01
8.642972536348950130e-02 6.641083044113748057e-01
8.723747980613894004e-02 6.689217980689493581e-01
8.804523424878837878e-02 6.776042900672194502e-01
8.885298869143780365e-02 6.865603805096629486e-01
8.966074313408724239e-02 6.943358041193756769e-01
9.046849757673668113e-02 7.041832646731838175e-01
9.127625201938610600e-02 7.169570407624457076e-01
