# PC/POPE/CDL-2 System Inner Leaflet Force Data
#  1st Col = Rho	 2nd Col = Z	 3rd Col = Force
7.500000000000000000e+00 5.000000000000000000e-01 2.355727933007930597e-01
7.500000000000000000e+00 1.500000000000000000e+00 1.566057181900917472e+00
7.500000000000000000e+00 2.500000000000000000e+00 6.262431453907552736e+00
7.500000000000000000e+00 3.500000000000000000e+00 5.829122800197994891e+00
7.500000000000000000e+00 4.500000000000000000e+00 2.498706689569689665e-01
7.500000000000000000e+00 5.500000000000000000e+00 2.119071543493148968e-01
7.500000000000000000e+00 6.500000000000000000e+00 2.060093992081005743e-01
7.500000000000000000e+00 7.500000000000000000e+00 2.101736333346276020e-01
7.500000000000000000e+00 8.500000000000000000e+00 2.249342089096340869e-01
7.500000000000000000e+00 9.500000000000000000e+00 2.121856235515081068e-01
7.500000000000000000e+00 1.050000000000000000e+01 2.094231278740945335e-01
7.500000000000000000e+00 1.150000000000000000e+01 2.227344963387428156e-01
7.500000000000000000e+00 1.250000000000000000e+01 1.943909399114454484e+00
7.500000000000000000e+00 1.350000000000000000e+01 1.093066518080803462e+01
7.500000000000000000e+00 1.450000000000000000e+01 1.805086504853299134e+00
7.509998666737775608e+00 1.549986667733292656e+01 4.143179439511296969e-01
7.589892051826671704e+00 1.649640259111149021e+01 4.808897394399213598e-01
7.749167776984479339e+00 1.748336663493826393e+01 2.858992897059287053e+00
7.986807021115363447e+00 1.845444560705142223e+01 9.285578689303769506e-01
8.301289704025814231e+00 1.940342791593862515e+01 3.210813626419563249e+00
8.690604209750457443e+00 2.032424331332499534e+01 3.064560426033027252e+00
9.152260254029377151e+00 2.121100172304671005e+01 1.903378669074998308e+00
9.683304813629021623e+00 2.205803091743794297e+01 1.768757021140783259e+00
1.028034101561340030e+01 2.285991280023085892e+01 7.198034626770137834e-01
1.093954986573868560e+01 2.361151806388189200e+01 1.706191602821372166e+00
1.165671467698364694e+01 2.430803899963574111e+01 1.772263997627737897e+00
1.242724804195671418e+01 2.494502025045457572e+01 4.118650016408614611e+00
1.324622117664825183e+01 2.551838731009870642e+01 1.626094931746636663e+00
1.410839544782825072e+01 2.602447258606184377e+01 3.477942982092805391e+00
1.500825588242158659e+01 2.646003885964708502e+01 1.863422877453734028e+00
1.594004644451529806e+01 2.682229999311923763e+01 3.313872279072855864e+00
1.689780685434534035e+01 2.710893875147831622e+01 9.785223661846788046e-01
1.787541071374698731e+01 2.731812162485575257e+01 1.168281033606246577e+00
1.886660469419612696e+01 2.744851055672049966e+01 1.255551415409896565e+00
1.986504853677165627e+01 2.749927150287457778e+01 3.453626211294687387e+00
2.086504591506379214e+01 2.750000000000000000e+01 3.657311623507641052e+00
2.186504591506379214e+01 2.750000000000000000e+01 3.068487146710683344e+00
2.286504591506379214e+01 2.750000000000000000e+01 1.349884579385614902e+00
2.386504591506379214e+01 2.750000000000000000e+01 1.219126426138991803e+00
2.486504591506379214e+01 2.750000000000000000e+01 1.891741453946996110e+00
2.586504591506379214e+01 2.750000000000000000e+01 3.609536580484415058e+00
2.686504591506379214e+01 2.750000000000000000e+01 2.371933920746564173e+00
2.786504591506379214e+01 2.750000000000000000e+01 6.408728138353115833e-01
2.886504591506379214e+01 2.750000000000000000e+01 8.388273555435816764e-01
2.986504591506379214e+01 2.750000000000000000e+01 1.422569524412746311e+00
3.086504591506379214e+01 2.750000000000000000e+01 6.690684622676233984e-01
3.186504591506379214e+01 2.750000000000000000e+01 5.929275069710338020e-01
3.286504591506378858e+01 2.750000000000000000e+01 5.989774674519130482e-01
3.386504591506378858e+01 2.750000000000000000e+01 5.903763349405304339e-01
3.486504591506378858e+01 2.750000000000000000e+01 5.909044692549362265e-01
3.586504591506378858e+01 2.750000000000000000e+01 6.898718142327880942e-01
3.686504591506378858e+01 2.750000000000000000e+01 7.576635649296500352e-01
3.786504591506378858e+01 2.750000000000000000e+01 7.821442304720861438e-01
